学校中文名,学校英文名,国家/地区,QS 2026,USNews 2026,THE 2025,ARWU 2024,Arts & Humanities,Archaeology,Architecture,Art & Design,Classics,English Language,History$,History of Art,Linguistics,Modern Languages,Music,Performing Arts,Philosophy,Theology,Engineering & Technology,Computer Science,Data Science,Engineering - Chemical,Engineering - Civil,Engineering - Electrical,Engineering - Mechanical,Engineering - Mineral,Petroleum Engineering,Life Sciences & Medicine,Agriculture,Anatomy,Biological,Dentistry,Medicine,Nursing,Pharmacy,Psychology,Veterinary Science,Natural Sciences,Chemistry,Earth & Marine Sciences,Environmental Sciences,Geography,Geology,Geophysics,Mathematics,Materials Science,Physics,Social Sciences & Management,Accounting,Anthropology,Business,Communication,Development Studies,Economics & Econometrics,Education,Hospitality,Law,Library,Marketing,Politics,Social Policy,Sociology,Sports-related Subjects,Statistics
格拉斯哥大学,University of Glasgow,英国,79,62,87,101,=61,37,101-150,151-200,,=34,49,,151-200,=100,,51-100,51-100,101-150,=152,=142,51-100,,101-150,=128,=138,,,42,,13,=66,,44,51-100,=87,101-150,22,150,=80,151-200,151-200,51-100,151-200,151-200,151-200,130,120,95,72,,=134,51-100,51-100,=122,=65,,64,36,51-100,=95,51-100,101-150,51-100,201-250
海德堡大学,Heidelberg University,德国,80,59,47,50,66,=23,,,7,81,43,,151-200,=69,,,49,11,,=165,,,,,,,,33,,,=32,,32,101-150,=52,101-150,,=55,=104,101-150,301-350,101-150,101-150,101-150,151-200,201-250,=44,=216,301-375,51-100,,,,201-250,101-150,,69,,,101-150,,151-200,,
华盛顿大学,University of Washington,美国,81,8,25,18,=102,101-150,101-150,151-200,,=100,51-100,,49,101-150,,,,,=84,19,=13,101-150,51-100,73,=138,51-100,,21,,51-100,28,19,23,6,43,43,,46,=130,10,50,51-100,8,9,=64,135,=65,=91,73,51-100,=99,51-100,,124,44,,101-150,2,,101-150,51-100,57,,29
宾夕法尼亚州立大学,Penn State (Main campus),美国,82,91,100,101,=98,51-100,51-100,151-200,,=58,101-150,,=76,101-150,,,151-200,,75,=102,51-100,=53,51-100,=118,43,10,27,=116,=52,51-100,=76,,118,50,201-250,42,,=66,=86,=33,47,51-100,=37,36,=80,=37,=65,=71,=81,51-100,=68,=37,51-100,=96,31,,151-200,,=50,151-200,,=97,=14,51-100
阿德莱德大学,The University of Adelaide,澳大利亚,82,99,128,151,=212,51-100,101-150,,51-150,151-200,151-200,,301-350,301-350,,,101-150,,=102,=94,,=96,101-150,=147,151-200,=28,4,=99,68,42,168,51-120,=124,51-100,151-200,151-200,51-100,101,=130,51-100,87,151-200,51-100,51-100,151-200,=132,201-250,=159,151-200,101-170,201-250,,101-150,=153,101-150,,101-150,,,201-250,,251-300,,201-250
布宜诺斯艾利斯大学,Universidad de Buenos Aires (UBA),阿根廷,84,451,-,201,=24,,101-150,51-100,51-150,151-200,51-100,,151-200,32,,,101-150,,=152,201-250,51-100,151-200,201-275,301-350,301-350,,24,151,101-150,101-170,=181,,=138,,251-300,101-150,51-100,175,193,151-200,151-200,101-150,151-200,151-200,151-200,,201-250,49,,40,128,51-100,,201-250,73,,28,,,51,,50,,
奥克兰大学,Oakland University,美国,-,1659,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利兹大学,University of Leeds,英国,86,133,123,151,=54,201-260,101-150,101-150,,36,51-100,,=81,=62,,51-100,=41,51-100,92,201-250,,84,51-100,=132,104,=38,=22,97,=82,37,152,51-120,=96,51-100,151-200,101-150,,=105,=125,20,59,=23,15,14,124,=136,151-200,=82,101-150,,=102,=33,22,168,=89,51-100,101-150,,35,=83,51-100,=81,51-100,51-100
南安普顿大学,University of Southampton,英国,87,118,115,151,=180,36,,,,151-200,151-200,,251-300,301-350,,,51-100,,=120,201-250,,201-250,101-150,83,93,,,=116,,,177,,81,13,251-300,151-200,,=126,=170,=40,=128,101-150,51-100,51-100,201-250,151-200,=75,=234,=97,,251-300,251-275,,=146,151-200,,151-200,,,251-300,101-150,151-200,,51-100
普渡大学西拉法叶分校,Purdue University,美国,88,173,79,100,=250,,=49,201-260,,151-200,,,101-150,151-200,,,,,29,73,51-100,43,=31,=53,19,,,=165,6,,=128,,301-350,151-225,=49,=95,48,=88,76,101-150,=75,,101-150,101-150,83,=49,=78,=128,101-150,,=96,101-150,,=119,=83,=50,301-350,38,,251-300,,301-375,,30
波士顿大学,Boston University,美国,88,86,75,101,106,151-200,151-200,201-260,,101-150,101-150,,151-200,101-150,,101-150,51-100,33,=170,=107,,,,151-200,251-300,,,63,,51-100,79,45,51,,101-150,57,,=173,=173,151-200,=114,101-150,151-200,151-200,=101,201-250,=113,69,=70,51-100,=78,51-100,=41,=23,=86,51-100,75,,,101-150,101-150,101-150,51-100,101-150
柏林自由大学,Free University of Berlin,德国,88,59,104,-,38,=23,,,24,=48,30,,101-150,=43,,,=34,51-100,=292,201-250,,,,,,,,=135,,101-170,=80,,,,=77,=76,51-100,=105,=88,101-150,,33,101-150,101-150,151-200,,124,=107,251-300,=49,251-300,=30,,179,101-150,,=65,,,32,51-100,=43,,
大阪大学,Osaka University,日本,91,314,162,201,=200,,151-200,,51-150,151-200,51-100,,=99,76,,,101-150,,=122,183,,101-150,151-200,151-200,=131,,,=118,401-475,,651-700,51-120,551-600,,201-250,301-350,,=102,451-500,,301-350,,,,151-200,401-550,451-500,=231,201-250,,301-350,,,=137,201-250,,201-250,,,201-250,,151-200,101-150,151-200
谢菲尔德大学,The University of Sheffield,英国,92,166,98,151,82,=29,44,,,=100,101-150,,101-150,151-200,,101-150,101-150,,=104,=191,,101-150,51-100,=136,88,,,=128,,51-100,=118,51-120,106,101-150,251-300,101-150,,=200,=157,201-275,=122,39,201-250,201-250,201-250,61,119,=150,151-200,101-170,201-250,51-100,36,201-250,101-150,,151-200,1,,89,101-150,=93,,101-150
乌普萨拉大学,Uppsala University,瑞典,93,141,130,88,=145,101-150,,,,101-150,101-150,,151-200,151-200,,,101-150,51-100,=257,201-250,,,,151-200,,,,=81,,101-170,60,,=116,51-100,47,201-250,,=113,67,101-150,=117,51-100,101-150,101-150,251-300,=95,=128,=225,,,251-300,101-150,,201-250,201-250,,201-250,,,=93,,101-150,,201-250
阿尔伯塔大学,University of Alberta,加拿大,94,156,116,101,=160,151-200,201-260,,,101-150,,,93,101-150,,,,101-150,=112,=105,,=70,101-150,=98,151-200,16,2,=86,69,41,=118,51-120,=86,14,=38,151-200,51-100,=102,112,51-100,78,151-200,51-100,51-100,=115,=149,251-300,=172,101-150,101-170,=149,251-275,,201-250,78,101-150,151-200,,,201-250,,201-250,10,151-200
达勒姆大学,Durham University,英国,94,292,172,301,43,6,,,9,33,36,,251-300,=66,,,31,6,=341,251-300,,,,301-350,351-400,,,501-550,201-250,,401-450,,401-450,,,84,,111,=175,51-100,251-300,11,51-100,51-100,201-250,251-300,=88,=107,76,29,=121,,101-150,=130,79,,57,,51-100,72,101-150,=89,51-100,201-250
悉尼科技大学,University of Technology Sydney,澳大利亚,96,83,154,201,=184,,51-100,51-100,,,,,251-300,,,,,,=107,=62,36,,51-100,=75,=142,51-100,,=261,,,301-350,,251-300,26,101-150,201-250,,=227,201-250,151-200,86,,,,=109,=119,251-300,=150,101-150,,151-200,101-150,,=122,151-200,,79,42,51-100,301-400,,201-250,41,51-100
诺丁汉大学,University of Nottingham,英国,97,153,136,101,=121,101-150,51-100,,,=93,151-200,,101-150,101-150,,,101-150,101-150,=116,=191,,92,51-100,=106,63,51-100,,68,62,51-100,=132,,=96,51-100,12,=85,47,171,92,201-275,151-200,51-100,201-250,201-250,151-200,=104,=125,=132,101-150,,=131,101-150,101-150,=96,54,,=95,,51-100,101-150,,151-200,51-100,51-100
米兰理工大学,Politecnico di Milano,意大利,98,338,201,201,=50,201-260,=7,6,,,,,,,,,,,21,=53,26,=41,=13,=23,12,51-100,,,351-400,,301-350,,351-400,,,,,=113,,151-200,=61,151-200,,,=38,=41,80,=91,101-150,,64,,51-100,,201-250,,,,51-100,,101-150,,,
卡尔斯鲁厄理工学院,Karlsruhe Institute of Technology,德国,98,278,166,201,,,51-100,,,,,,,,,,,,=53,=110,,=25,51-100,62,45,,19,,,,251-300,,,,,,,36,=55,51-100,=75,,51-100,51-100,151-200,25,=57,451-500,,,301-350,,,301-350,,,,51-100,,,,,,101-150
苏黎世大学,University of Zurich,瑞士,100,59,-,67,=102,201-260,,=46,51-150,101-150,51-100,,=55,82,,42,51-100,51-100,,=119,,,,,,,,=57,,101-170,=55,8,66,101-150,101-150,40,,=123,=122,101-150,151-200,51-100,101-150,101-150,151-200,,=113,=115,=81,101-170,201-250,32,101-150,=47,151-200,,101-150,,,=73,51-100,101-150,,101-150
哥本哈根大学,University of Copenhagen,丹麦,101,41,97,32,74,=41,151-200,,51-150,72,51-100,,101-150,101-150,,,30,51-100,=250,104,,,,,,,21,30,16,12,29,=46,52,,27,101-150,=23,=77,85,51-100,=72,=29,51-100,51-100,=147,201-250,=97,=123,,=36,,=50,51-100,=91,101-150,,=92,,,58,,46,17,51-100
浦项科技大学,Pohang University of Science and Technology,韩国,102,380,151,301,,,,,,,,,,,,,,,83,=86,43,=53,,72,=39,,,=355,,,93,,351-400,,,,,60,48,,151-200,,,,=93,24,37,,,,251-300,,,,,,,,,,,,,
南京大学,Nanjing University,中国,103,86,65,82,=165,101-150,51-100,151-200,16,=69,101-150,,=40,=56,,,51-100,,=122,=80,,88,,89,=122,51-100,,222,,,=103,,201-250,,101-150,151-200,,52,25,28,26,=34,=22,=25,90,54,=65,=163,101-150,,151-200,101-150,,=102,151-200,101-150,=90,25,,101-150,51-100,=86,,101-150
乌特勒支大学,Utrecht University,荷兰,103,49,-,55,101,101-150,151-200,201-260,51-150,=82,51-100,,101-150,=98,,,51-100,,=252,=142,,101-150,,,401-450,,,48,,,61,,64,51-100,44,=30,8,=84,=133,27,=48,22,19,17,151-200,251-300,151-200,=103,301-375,51-100,251-300,51-100,51-100,=143,51,,73,,,101-150,21,55,101-150,101-150
罗蒙诺索夫莫斯科国立大学,Lomonosov Moscow State University,俄国,105,521,107,-,=79,51-100,,201-260,,101-150,101-150,,47,=40,,,51-100,,=79,=86,,78,201-275,151-200,=120,=38,,=305,151-200,,=128,,301-350,,101-150,201-250,,=42,=96,201-275,351-400,201-250,201-250,201-250,=52,151-200,=60,84,101-150,101-170,201-250,151-200,,=156,=89,51-100,101-150,51-100,,78,,151-200,,151-200
亚琛莱茵-威斯特法伦工业大学,Rheinisch-Westfälische Technische Hochschule Aachen,德国,105,-,-,-,401-450,,51-100,,,,,,,,,,,,=65,=122,51-100,65,51-100,=69,23,=21,,=256,,,=185,,201-250,,,301-350,,86,=70,151-200,97,,201-250,201-250,151-200,=39,=71,451-500,,,201-250,,,251-300,301-350,,,51-100,,,,,,101-150
丹麦技术大学,Technical University of Denmark,丹麦,107,178,124,151,,,,,,,,,,,,,,,57,151,,=25,35,=53,32,51-100,,239,,,102,,351-400,,151-200,,,=131,66,51-100,=44,,51-100,51-100,151-200,=62,151-200,,,,351-400,,,351-400,,,,,,,,,,
圣保罗大学,Universidade de São Paulo,巴西,108,146,199,101,=50,43,51-100,51-100,,201-250,51-100,21-50,101-150,65,,,101-150,,501-550,601-650,51-100,301-350,51-100,401-450,301-350,33,9,47,301-350,51-100,401-450,13,201-250,151-225,251-300,=85,51-100,501-550,351-400,101-150,501-550,51-100,101-150,101-150,=88,151-200,451-500,=43,=70,=25,551-600,101-150,51-100,=161,=81,51-100,52,51-100,,50,51-100,52,39,51-100
巴勒莫大学,Universidad de Palermo (UP),阿根廷,771-780,-,-,-,,,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
威斯康星大学-麦迪逊,University of Wisconsin - Madison,美国,110,72,56,36,=109,51-100,151-200,151-200,,74,47,,101-150,101-150,,,,,=120,=110,,=34,101-150,=114,107,,,=83,18,101-170,=70,,=119,101-150,46,64,=12,=64,=72,51-100,=64,=49,51-100,51-100,=75,=119,=85,=111,101-150,42,201-250,17,40,=62,=20,,151-200,51-100,,101-150,101-150,11,101-150,=50
伦敦大学玛丽皇后学院,Queen Mary University of London,英国,110,94,141,201,81,201-260,,,,42,51-100,,101-150,101-150,,51-100,201-225,,=173,=84,51-100,201-250,,140,201-250,,,69,,,=126,15,=59,,201-250,151-200,,=203,251-300,,451-500,101-150,,,87,151-200,=140,127,151-200,,301-350,151-200,51-100,=100,,,=39,,,57,,,,201-250
卡塔尔大学,Qatar University,卡塔尔,112,310,201,501,=373,,201-260,,,301-350,,,,,,,,51-100,=192,201-250,,151-200,151-200,201-250,201-250,,51-100,=276,,,301-350,,301-350,,101-150,,,=344,201-250,,201-250,,,,251-300,201-250,401-450,=243,151-200,,251-300,,,301-350,201-250,,201-250,35,,301-400,,,101-150,201-250
圣安德鲁斯大学,University of St Andrews,英国,113,403,185,301,=58,51-100,,,3,52,46,,,=79,,,14,14,,401-450,,,,,,,,401-450,,,201-250,,351-400,,,101-150,,=176,=159,51-100,301-350,51-100,51-100,51-100,251-300,201-250,151-200,=326,151-200,51-100,351-400,,,251-300,,,201-250,,,55,,151-200,,
加州大学戴维斯分校,"University of California, Davis",美国,114,96,62,101,210,151-200,,,,101-150,101-150,,301-350,201-250,,,,,=177,201-250,,=93,51-100,151-200,151-200,,,41,2,51-100,=38,,113,151-225,,101-150,2,=102,=144,51-100,25,101-150,51-100,51-100,201-250,201-250,151-200,252,201-250,51-100,301-350,51-100,34,=71,151-200,,151-200,,,151-200,,151-200,,101-150
阿尔托大学,Aalto University,芬兰,114,271,196,401,=109,,=49,8,,,,,,,,,,,=165,=122,51-100,151-200,151-200,=132,151-200,51-100,,,,,501-550,,,,,301-350,,=258,201-250,,251-300,,,,201-250,129,151-200,=189,151-200,,=92,151-200,,=181,201-250,,,,44,,,,,
赫尔辛基大学,University of Helsinki,芬兰,116,113,107,99,85,51-100,,201-260,,=77,51-100,,64,101-150,9,14,51-100,=45,=299,=175,,,,,,,,90,=35,,=89,,=141,,65,101-150,51-100,=160,=153,101-150,85,51-100,101-150,101-150,201-250,201-250,201-250,=203,,51-100,,51-100,,301-350,37,,101-150,,,151-200,51-100,80,,201-250
智利天主教大学,Pontifical Catholic University of Chile,智利,116,390,501,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都柏林大学,University College Dublin,爱尔兰,118,245,201,301,=92,51-100,151-200,,,41,51-100,,301-350,101-150,,51-100,51-100,,=207,=175,,201-250,101-150,=132,201-250,,34,=158,64,51-100,201-250,,=172,44,201-250,151-200,33,=293,201-250,151-200,251-300,101-150,151-200,151-200,251-300,301-350,251-300,=165,101-150,,151-200,101-150,,=169,101-150,,101-150,51-100,,101-150,51-100,101-150,51-100,201-250
奥斯陆大学,University of Oslo,挪威,119,100,116,72,=107,51-100,,,,101-150,101-150,,151-200,201-250,,101-150,51-100,=37,=299,=139,51-100,,,,,,36,=114,,51-100,=166,51-120,82,,101-150,101-150,,=182,251-300,51-100,151-200,51-100,=50,51-100,201-250,351-400,201-250,=183,,45,451-500,51-100,51-100,=198,64,,=100,,,=83,,=72,101-150,201-250
莱顿大学,Leiden University,荷兰,119,56,73,101,=46,4,201-260,,6,55,18,,50,71,,,51-100,=37,=376,=152,51-100,,,,,,,77,,101-170,=89,,65,,22,65,,=168,=164,,151-200,26,,,151-200,351-400,=102,=128,,27,,51-100,33,251-300,101-150,,25,,,17,38,75,,151-200
莱斯大学,Rice University,美国,119,219,112,101,=270,201-260,101-150,201-260,,151-200,,,,,,,,101-150,219,201-250,,101-150,151-200,131,151-200,,,451-500,,,201-250,,351-400,,,301-350,,=160,135,151-200,251-300,,151-200,151-200,201-250,=82,=97,401-450,201-250,,201-250,,,251-300,401-450,,,,,201-250,,201-250,,251-275
滑铁卢大学,University of Waterloo,加拿大,119,197,163,151,=360,,101-150,101-150,51-150,,,,,,,,151-200,,=47,33,=34,=89,51-100,30,=91,,,387,,,251-300,,251-300,,151-200,151-200,,=72,=118,101-150,120,101-150,101-150,101-150,47,=82,=75,=227,151-200,,251-300,,,251-300,,51-100,,,,201-250,,301-375,51-100,51-100
佐治亚理工学院,Georgia Institute of Technology,美国,123,79,40,151,=266,,18,51-100,,251-300,,,,301-350,,,,,15,40,=15,28,=25,=14,17,,,=300,,,=107,,201-250,,,151-200,,=53,41,101-150,=36,,51-100,51-100,27,13,34,=199,151-200,,73,,,201-250,101-150,,301-350,,,301-400,101-150,,,8
印度理工学院德里,Indian Institute of Technology Delhi,印度,123,703,-,601,,,,201-260,,,,,251-300,,,,,,26,=64,51-100,=93,51-100,=47,61,51-100,,,,,201-250,,,,,,,=146,136,,=94,,,,95,=98,151-200,75,,,=92,,,=125,,,,,,,,251-300,,51-100
墨尔本皇家理工大学,RMIT University,澳大利亚,125,198,251,301,=94,,21,26,,,,,,,,101-150,,,=152,=167,,201-250,51-100,=144,=110,,,451-500,101-150,,351-400,,401-450,151-225,351-400,,,=308,201-250,,151-200,51-100,,,151-200,=77,201-250,=212,101-150,,=149,51-100,,=161,151-200,,351-400,51-100,51-100,201-250,,201-250,,151-200
成均馆大学,Sungkyunkwan University,韩国,126,271,102,151,=316,,101-150,101-150,=37,101-150,101-150,,101-150,=77,,,51-100,,=165,=152,51-100,=96,101-150,=118,=122,,,=152,,101-170,=159,,=129,,=67,201-250,,=168,=77,,251-300,151-200,,,151-200,=49,=106,=221,101-150,,115,51-100,,=116,151-200,,201-250,=43,,101-150,=28,151-200,101-150,201-250
马来西亚国民大学,Universiti Kebangsaan Malaysia,马来西亚,126,572,401,601,=218,,201-260,201-260,,101-150,,,151-200,151-200,,,,51-100,=197,180,,151-200,151-200,151-200,151-200,,,=234,,,301-350,,251-300,,101-150,301-350,,=243,201-250,,201-250,201-250,,,151-200,201-250,251-300,=179,151-200,,201-250,151-200,,201-250,151-200,,201-250,,,301-400,,,101-150,251-275
罗马大学,Sapienza University of Rome,意大利,128,161,185,101,=40,11,51-100,101-150,1,101-150,51-100,18,101-150,52,,,101-150,51-100,93,=78,51-100,101-150,51-100,=106,=76,,,=118,151-200,51-100,=122,51-120,94,51-100,56,63,,=61,=157,101-150,151-200,51-100,151-200,151-200,82,151-200,40,=119,151-200,51-100,251-300,101-150,51-100,=149,201-250,,53,51-100,,101-150,,151-200,,51-100
印度理工学院孟买校区,Indian Institute of Technology Bombay,印度,129,681,-,-,=192,,101-150,51-100,,,,,,,,,,,28,=76,51-100,100,51-100,=50,=69,40,,,,,301-350,,,,251-300,,,112,=107,151-200,=98,,101-150,101-150,=99,=104,=131,=89,,,=113,,101-150,=198,151-200,,,,,,,301-375,,101-150
柏林洪堡大学,Humboldt University of Berlin,德国,130,47,84,-,26,101-150,,151-200,10,53,41,,=74,39,,,11,31,=225,=136,,,,,,,,=187,101-150,,=145,,,,,=76,,82,=130,,96,=23,,,=111,,=106,78,101-150,51-100,201-250,51-100,51-100,=91,101-150,,=41,51-100,,69,51-100,=36,,51-100
奥胡斯大学,Aarhus University,丹麦,131,117,110,80,=94,19,151-200,101-150,51-150,101-150,101-150,,201-250,101-150,,,51-100,51-100,=239,=119,,151-200,201-275,201-250,301-350,,,=107,43,101-170,=126,51-120,=138,51-100,251-300,=80,51-100,181,=162,101-150,104,101-150,101-150,101-150,201-250,201-250,201-250,=156,201-250,35,151-200,51-100,,=149,101-150,,301-350,51-100,,=46,42,101-150,,101-150
巴斯大学,University of Bath,英国,132,403,251,501,=291,,51-100,,,,,,251-300,201-250,,,,,=212,351-400,,101-150,151-200,151-200,=127,,,=366,,,351-400,,301-350,,101-150,=74,,=223,=146,,201-250,,,,151-200,,301-350,=159,101-150,,=102,,51-100,201-250,151-200,,,,51-100,151-200,51-100,101-150,=12,151-200
中国科学技术大学,University of Science and Technology of China,中国,132,71,53,42,401-450,,,,,,,,201-250,,,,,,=60,=59,,,,=58,48,,,=156,,,=73,,251-300,,101-150,301-350,,26,29,51-100,=83,201-250,51-100,101-150,=67,=31,32,=258,251-300,,201-250,,,,,,,37,,,,251-300,,51-100
马来西亚博特拉大学,Universiti Putra Malaysia,马来西亚,134,578,601,-,=291,,151-200,201-260,,101-150,,,151-200,151-200,,101-150,,,=177,251-300,,151-200,201-275,151-200,201-250,,51-100,=158,=56,,201-250,,251-300,,151-200,,37,=200,=187,,201-250,151-200,,,201-250,151-200,251-300,=183,151-200,,151-200,201-250,,=146,151-200,,,,51-100,,,,,251-275
马来西亚理科大学,Universiti Sains Malaysia,马来西亚,134,416,401,601,=207,201-260,101-150,201-260,,151-200,,,201-250,201-250,,,,101-150,=177,=165,,151-200,151-200,151-200,201-250,,,=213,201-250,,251-300,,251-300,,=87,301-350,,=219,=170,,201-250,151-200,,,201-250,151-200,251-300,=176,151-200,,201-250,151-200,,=185,101-150,101-150,,,,301-400,,301-375,,201-250
墨西哥国立自治大学,National Autonomous University of Mexico,墨西哥,136,416,801,201,22,=34,51-100,43,51-150,=91,48,21-50,70,21,,,51-100,,=69,=127,,=89,51-100,=144,151-200,51-100,26,=124,,51-100,=103,,=124,151-225,101-150,=92,51-100,=72,=142,51-100,=83,51-100,51-100,51-100,=101,251-300,=113,=32,,15,=92,51-100,26,=189,=58,,30,,,59,51-100,29,,101-150
巴勒莫大学,Universidad de Panamá - UP,巴拿马,1401,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麦考瑞大学,Macquarie University,澳大利亚,138,178,178,201,=165,201-260,,,51-150,101-150,151-200,,36,101-150,,,51-100,51-100,=368,=156,51-100,,,201-250,501-575,,51-100,=305,201-250,,351-400,,301-350,,301-350,101-150,,=286,451-500,151-200,201-250,101-150,151-200,151-200,201-250,401-550,301-350,=212,100,101-170,151-200,151-200,101-150,173,151-200,,151-200,,,201-250,,201-250,,201-250
博洛尼亚大学,Alma Mater Studiorum - University of Bologna,意大利,138,141,146,201,42,=41,151-200,201-260,=25,68,51-100,,101-150,=43,,,101-150,101-150,111,93,,101-150,51-100,=114,126,,,=99,54,101-170,=161,51-120,=96,151-225,101-150,90,44,94,=125,101-150,=144,43,101-150,101-150,129,201-250,=104,=64,=97,51-100,=129,51-100,,=102,151-200,51-100,=41,,51-100,68,51-100,101-150,101-150,51-100
埃因霍温科技大学,Eindhoven University of Technology,荷兰,140,409,185,401,=350,,51-100,=46,,,,,,,,,,,=95,=102,51-100,59,51-100,74,=53,,,,,,401-450,,451-500,,,201-250,,194,=99,,301-350,,,,=130,=86,=140,,,,251-300,,,,151-200,,,,,,,,,51-100
鹿特丹伊拉斯姆斯大学,Erasmus University Rotterdam,荷兰,140,76,107,101,=270,,,,,,101-150,,,,,,101-150,,,,,,,,351-400,,,=83,,51-100,=136,,=42,,,44,,,,,,,,,,,,40,45,,22,51-100,28,=55,,,101-150,51-100,12,,51-100,=93,101-150,51-100
北卡罗来纳大学教堂山分校,University of North Carolina at Chapel Hill,美国,140,51,70,35,159,51-100,201-260,,51-150,=87,=37,,301-350,101-150,,,101-150,51-100,=288,=172,,,,,,,,43,,=48,51,21,54,9,10,47,,189,75,151-200,=128,51-100,151-200,151-200,201-250,251-300,251-300,=137,=90,51-100,124,51-100,101-150,=133,101-150,151-175,251-300,4,,101-150,101-150,51,28,51-100
沙特国王大学,King Saud University,沙特阿拉伯,143,146,251,90,=276,,201-260,,,,,,251-300,301-350,,,,,=112,99,,101-150,151-200,127,151-200,,33,113,=84,101-170,=173,=48,=165,101-150,48,,,=148,90,,,,,,=78,=108,151-200,=240,301-375,,301-350,,101-150,201-250,=86,,251-300,,,,,301-375,,201-250
德州农工大学,Texas A&M University,美国,144,187,143,201,=316,151-200,51-100,201-260,,,,,,301-350,,,151-200,,63,=146,,72,45,=78,=39,,3,=149,13,,=107,51-120,=191,,251-300,101-150,10,=90,68,43,=32,101-150,=44,=40,=70,=93,=122,=148,101-150,,=92,151-200,,=108,101-150,51-100,251-300,,,101-150,,301-375,51-100,51-100
柏林工业大学,Technical University of Berlin,德国,145,270,140,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南加州大学,University of Southern California,美国,146,77,72,62,73,,51-100,101-150,,101-150,151-200,,151-200,201-250,,51-100,=47,,=159,49,,201-250,101-150,=98,151-200,,37,=165,,28,=163,51-120,=99,,101-150,=51,,=286,=194,201-275,251-300,,,201-250,=135,251-300,201-250,98,53,51-100,72,7,,=88,85,,151-200,=43,,101-150,51-100,101-150,51-100,51-100
格罗宁根大学,University of Groningen,荷兰,147,75,80,69,132,51-100,,,51-150,101-150,101-150,,101-150,201-250,,,51-100,44,=314,201-250,,77,,251-300,,,,92,,51-100,=99,51-120,=89,,57,29,,=151,91,201-275,201-250,51-100,201-250,201-250,351-400,151-200,=128,143,151-200,,=141,51-100,101-150,148,101-150,,101-150,,51-100,151-200,,84,51-100,151-200
利物浦大学,University of Liverpool,英国,147,137,160,101,=141,51-100,51-100,,51-150,90,101-150,,251-300,101-150,,,151-200,,204,201-250,,,101-150,201-250,=150,,=40,72,,51-100,=118,,74,51-100,55,101-150,11,=168,111,101-150,251-300,51-100,151-200,151-200,251-300,151-200,151-200,=234,151-200,101-170,151-200,101-150,,251-300,,,201-250,,51-100,251-300,,251-300,,101-150
斯德哥尔摩大学,Stockholm University,瑞典,147,156,191,101,=114,101-150,,201-260,,101-150,151-200,,84,101-150,,,101-150,,=278,251-300,,,,,,,,170,,,98,,,,,101-150,,=90,=138,51-100,39,46,51-100,51-100,251-300,201-250,=125,=163,251-300,51-100,351-400,101-150,,=149,151-200,,201-250,,,151-200,=30,56,,151-200
开普敦大学,University of Cape Town,南非,150,124,180,201,=174,151-200,151-200,,,101-150,151-200,,301-350,,,,,,=282,351-400,,251-300,201-275,351-400,401-450,,,=102,101-150,101-170,=163,,=99,,151-200,151-200,,=233,401-450,151-200,151-200,101-150,101-150,101-150,351-400,,301-350,=212,251-300,51-100,301-350,151-200,15,201-250,151-200,,151-200,,,201-250,,251-300,,
西安大略大学,Western University,加拿大,151,314,201,201,=246,,,,51-150,201-250,151-200,,151-200,301-350,,,50,,=257,251-300,,151-200,151-200,251-300,351-400,=45,,=229,,51-100,301-350,,201-250,51-100,101-150,101-150,,=276,251-300,201-275,201-250,151-200,201-250,201-250,301-350,251-300,501-550,=137,151-200,,86,,,175,251-300,,201-250,,,301-400,,151-200,20,151-200
维也纳大学,University of Vienna,奥地利,152,212,110,101,=52,=47,,101-150,36,76,=44,,=65,=62,,,51-100,29,=325,=144,,,,351-400,,,,=197,,,=107,,,,151-200,=92,,95,=142,101-150,=128,47,51-100,51-100,=106,251-300,=138,=156,251-300,44,251-300,15,,201-250,101-150,,101-150,,,100,101-150,69,101-150,51-100
